id,nom,tags,importance,series,valeur,type,repos,description,video,frequence
1,Exercice de Kegel avec Expiration,"Santé Pelvienne, Respiration, Alta",1-Haute,1,10,répétitions,60,"Contractez le plancher pelvien pendant l'expiration buccale, puis relâchez complètement pendant l'inspiration nasale. Gardez le ventre souple.",kegel+breathing+physio,5
2,Rotation des hanches assis,"Santé Pelvienne, Mobilité, Alta",1-Haute,1,20,répétitions,30,"Assis sur le ballon de stabilité, effectuez de larges cercles avec le bassin pour mobiliser les hanches et le bas du dos.",seated+ball+hip+rotation,5
3,Mouvement de la Pagaie (Infini),"Thoracique, Mobilité, Alta",1-Haute,1,20,répétitions,30,Maintenez vos mains sur vos coudes opposés et dessinez un chiffre huit horizontal (symbole de l'infini) devant vous. Laissez le tronc suivre.,thoracic+rotation+paddle,5
4,Étirement du dos vers l'arrière,"Postural, Extension, Alta",1-Haute,1,10,répétitions,45,Effectuez une extension du dos en vous appuyant sur le ballon de stabilité pour ouvrir la cage thoracique et étirer les abdominaux.,seated+back+extension,5
5,Équilibre sur ballon de stabilité,"Stabilité, Core, Alta",2-Moyenne,1,60,secondes,45,"Maintenez une position stable sur le ballon. Pour augmenter la difficulté, essayez de lever un talon ou un pied légèrement.",stability+ball+balance,5
6,Glissement des bras au mur,"Thoracique, Posture, PDF 1",1-Haute,2,20,répétitions,45,"Assis au sol, dos et fesses contre le mur. Appuyez la tête (menton rentré), épaules, coudes et poignets au mur (coudes à 90 degrés). Glissez les bras vers le haut.",wall+slides+physio,3
7,Rétraction des omoplates (Bras hauts),"Dos, Renforcement, PDF 1",2-Moyenne,2,20,répétitions,45,"Couché sur le ventre, bras allongés vers le haut, pouces vers le plafond. Soulevez coudes et mains en rapprochant et abaissant les omoplates.",prone+scapular+retraction,3
8,Rétraction des omoplates (Mains à la tête),"Dos, Renforcement, PDF 1",2-Moyenne,2,10,répétitions,45,"Couché sur le ventre, mains derrière la tête. Soulevez les coudes de la surface en rapprochant vos omoplates ensemble sans tirer sur la nuque.",prone+retraction+hands+head,3
9,Rétraction des omoplates (Bras en W),"Dos, Renforcement, PDF 1",2-Moyenne,2,10,répétitions,45,"Couché sur le ventre, bras vers le haut, coudes fléchis à 90 degrés (forme de W), pouces vers le haut. Soulevez coudes et mains en serrant les omoplates.",prone+W+raise,3
10,Planche latérale avec extension et abduction,"Core, Fessiers, PDF 1",2-Moyenne,2,10,répétitions,45,"En planche latérale sur les genoux, levez la jambe supérieure vers le haut et l'arrière en diagonale avec rotation externe (orteils vers le haut).",side+plank+abduction,3
11,Planche latérale avec cercles de jambe,"Core, Fessiers, PDF 1",2-Moyenne,2,10,répétitions,45,"En planche latérale sur les genoux, jambe supérieure tendue. Effectuez des cercles contrôlés, orteils pointés vers le haut pour engager les fessiers.",side+plank+circles,3
12,Redressement assis partiel,"Abdominaux, Renforcement, PDF 1",3-Basse,1,15,répétitions,0,"Couché sur le dos, genoux pliés. Rentrez le menton. Soulevez tête et épaules en dirigeant les mains vers les genoux. Expirez en montant.",partial+crunch+physio,3
13,Maintien abdominal isométrique,"Abdominaux, Stabilité, PDF 1",2-Moyenne,1,15,répétitions,0,"Couché sur le dos, écrasez le sol avec le bas du dos (nombril rentré). Soulevez les épaules et les pieds à quelques centimètres du sol.",iso+abs+hold,3
14,Planche avec extension de la hanche,"Core, Fessiers, PDF 1",2-Moyenne,2,15,répétitions,45,"En planche sur les coudes, soulevez une jambe étendue sans arquer le dos. Maintenez la ligne droite tête-épaules-bassin.",plank+leg+lift,3
15,Série 5x5 Scapulaire (Y-U-T-W-I),"Épaules, Posture, PDF 2",1-Haute,5,5,répétitions,30,"Debout avec élastique. Formez successivement les lettres Y, U, T, W et I. Maintenez chaque position 3 secondes en gardant les omoplates basses.",YTW+scapular,3
